...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.994583219552172e+01	2.331129231255961e+04	2.901433208503015e+01	1.375222117062904e-05	-1.521594002493551e-01	4.045958479572035e+05	2.657297662143516e+05	5.582128896139449e+05	-3.566878339859252e+02	-1.002144256463265e+04	2.395165521810150e+02	4.662258462511982e+02
4.051507090674341e+01	2.354361804996405e+04	2.912782006388625e+01	1.361651582080796e-05	-1.581660827244810e-01	4.144505752305288e+05	2.963323644075791e+05	5.983479783454948e+05	-3.596288618964877e+02	-1.163192650969296e+04	2.414863378717408e+02	4.708723609992870e+02
4.108430961796510e+01	2.384602551548408e+04	2.927944833838499e+01	1.344383563835050e-05	-1.674792603896709e-01	4.315699403584395e+05	3.393052977654324e+05	6.579016615909425e+05	-3.623468623620456e+02	-1.425368786890024e+04	2.435430897811099e+02	4.769205103096875e+02
4.165354832918678e+01	2.438675124781208e+04	2.955381839331497e+01	1.314574640944994e-05	-1.875711852351744e-01	4.821518731713648e+05	4.209219836003534e+05	7.888583614795683e+05	-3.675139254315383e+02	-2.018249087721794e+04	2.476599327636283e+02	4.877350249562475e+02
4.222278704040847e+01	2.516957676951140e+04	2.994784933318227e+01	1.270807918708818e-05	-2.165803347309056e-01	5.810151796075216e+05	5.436234999206767e+05	1.008601491489649e+06	-3.782847967066875e+02	-2.914540091404563e+04	2.544400891580259e+02	5.033915353902336e+02
4.279202575163016e+01	2.619036448882408e+04	3.044846006573743e+01	1.221277293914509e-05	-2.520164606313322e-01	7.444151954955346e+05	7.066515371437112e+05	1.332788653090137e+06	-3.917082973045680e+02	-4.060177202824604e+04	2.637358248694534e+02	5.238072897764869e+02
4.336126446285184e+01	2.744313269452784e+04	3.103792450389913e+01	1.165526466147647e-05	-2.913901083860497e-01	9.902769872370238e+05	9.073425164882526e+05	1.776831805229671e+06	-4.100663687703332e+02	-5.391825364687040e+04	2.750242807266906e+02	5.488626538905619e+02
4.393050317407352e+01	2.892010166190401e+04	3.169635713418235e+01	1.106002249306811e-05	-3.323583553253521e-01	1.337691637271114e+06	1.141725073479486e+06	2.355987024773063e+06	-4.315825304250294e+02	-6.841408599244674e+04	2.894025627259373e+02	5.784020332380853e+02
4.449974188529521e+01	3.061321756856397e+04	3.240447003778838e+01	1.044832920152633e-05	-3.729977801373513e-01	1.806673186344414e+06	1.405371186018239e+06	3.085944332923054e+06	-4.575498565171510e+02	-8.346275776276323e+04	3.051341088895040e+02	6.122643513712851e+02
4.506898059651689e+01	3.251154194309071e+04	3.314394124242002e+01	9.838259160127997e-06	-4.117609500505623e-01	2.417643403963957e+06	1.693503248769816e+06	3.982426855384982e+06	-4.860006472653431e+02	-9.849229573028928e+04	3.243879573835715e+02	6.502308388618210e+02
4.563821930773858e+01	3.460047100112106e+04	3.389825642237567e+01	9.244295410265748e-06	-4.474886425179186e-01	3.190728821728099e+06	2.001308040845599e+06	5.060807606377117e+06	-5.189074276370995e+02	-1.130062972485453e+05	3.443142605103929e+02	6.920094200224287e+02
4.620745801896027e+01	3.686593620240124e+04	3.465467469748759e+01	8.677405903725862e-06	-4.794819003099391e-01	4.145697370056799e+06	2.324808379453965e+06	6.336905084416535e+06	-5.546102745295401e+02	-1.266335710558405e+05	3.669367901684123e+02	7.373187240480328e+02
4.677669673018195e+01	3.928734047748616e+04	3.540179363238877e+01	8.142589655349446e-06	-5.072193121658696e-01	5.300597877774790e+06	2.659954710754250e+06	7.824745683182620e+06	-5.928107997019582e+02	-1.390304433297067e+05	3.903247581301943e+02	7.857468095497312e+02
4.734593544140364e+01	4.184244078546127e+04	3.613116027166289e+01	7.645364040177227e-06	-5.304758429919781e-01	6.671418528421601e+06	3.003400218286077e+06	9.536981592409782e+06	-6.338306510874024e+02	-1.499450864697001e+05	4.158496652403207e+02	8.368488157092326e+02
4.791517415262533e+01	4.450698325939448e+04	3.683664519110226e+01	7.187651659667956e-06	-5.492539523307531e-01	8.271281269051698e+06	3.352364147531483e+06	1.148394973691723e+07	-6.755790568780799e+02	-1.592054590565026e+05	4.418954143380985e+02	8.901396651878957e+02
